REF_DATE,Province ID,Province Name,GEO,VALUE
2018,1,Newfoundland and Labrador,"Newfoundland and Labrador, rural",42539
2019,1,Newfoundland and Labrador,"Newfoundland and Labrador, rural",43101
2020,1,Newfoundland and Labrador,"Newfoundland and Labrador, rural",43214
2021,1,Newfoundland and Labrador,"Newfoundland and Labrador, rural",44885
2022,1,Newfoundland and Labrador,"Newfoundland and Labrador, rural",48488
2018,1,Newfoundland and Labrador,"Newfoundland and Labrador, population under 30,000",42926
2019,1,Newfoundland and Labrador,"Newfoundland and Labrador, population under 30,000",43492
2020,1,Newfoundland and Labrador,"Newfoundland and Labrador, population under 30,000",43606
2021,1,Newfoundland and Labrador,"Newfoundland and Labrador, population under 30,000",45291
2022,1,Newfoundland and Labrador,"Newfoundland and Labrador, population under 30,000",48920
2018,1,Newfoundland and Labrador,"Newfoundland and Labrador, population 30,000 to 99,999",44167
2019,1,Newfoundland and Labrador,"Newfoundland and Labrador, population 30,000 to 99,999",44775
2020,1,Newfoundland and Labrador,"Newfoundland and Labrador, population 30,000 to 99,999",44911
2021,1,Newfoundland and Labrador,"Newfoundland and Labrador, population 30,000 to 99,999",46549
2022,1,Newfoundland and Labrador,"Newfoundland and Labrador, population 30,000 to 99,999",50238
2018,1,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",44808
2019,1,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",45434
2020,1,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",45564
2021,1,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",47215
2022,1,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",50931
2018,2,Prince Edward Island,"Prince Edward Island, rural",41520
2019,2,Prince Edward Island,"Prince Edward Island, rural",42284
2020,2,Prince Edward Island,"Prince Edward Island, rural",42745
2021,2,Prince Edward Island,"Prince Edward Island, rural",44753
2022,2,Prince Edward Island,"Prince Edward Island, rural",49056
2018,2,Prince Edward Island,"Prince Edward Island, population under 30,000",42283
2019,2,Prince Edward Island,"Prince Edward Island, population under 30,000",43056
2020,2,Prince Edward Island,"Prince Edward Island, population under 30,000",43517
2021,2,Prince Edward Island,"Prince Edward Island, population under 30,000",45564
2022,2,Prince Edward Island,"Prince Edward Island, population under 30,000",49939
2018,2,Prince Edward Island,"Charlottetown, Prince Edward Island",43205
2019,2,Prince Edward Island,"Charlottetown, Prince Edward Island",44027
2020,2,Prince Edward Island,"Charlottetown, Prince Edward Island",44505
2021,2,Prince Edward Island,"Charlottetown, Prince Edward Island",46551
2022,2,Prince Edward Island,"Charlottetown, Prince Edward Island",51033
2018,3,Nova Scotia,"Nova Scotia, rural",41588
2019,3,Nova Scotia,"Nova Scotia, rural",42460
2020,3,Nova Scotia,"Nova Scotia, rural",42812
2021,3,Nova Scotia,"Nova Scotia, rural",44538
2022,3,Nova Scotia,"Nova Scotia, rural",48476
2018,3,Nova Scotia,"Nova Scotia, population under 30,000",42494
2019,3,Nova Scotia,"Nova Scotia, population under 30,000",43380
2020,3,Nova Scotia,"Nova Scotia, population under 30,000",43735
2021,3,Nova Scotia,"Nova Scotia, population under 30,000",45498
2022,3,Nova Scotia,"Nova Scotia, population under 30,000",49508
2018,3,Nova Scotia,"Nova Scotia, population 30,000 to 99,999",42800
2019,3,Nova Scotia,"Nova Scotia, population 30,000 to 99,999",43705
2020,3,Nova Scotia,"Nova Scotia, population 30,000 to 99,999",44076
2021,3,Nova Scotia,"Nova Scotia, population 30,000 to 99,999",45781
2022,3,Nova Scotia,"Nova Scotia, population 30,000 to 99,999",49800
2018,3,Nova Scotia,"Halifax, Nova Scotia",45197
