Year,Sulphur oxides (percentage change from 1990 level),Nitrogen oxides (percentage change from 1990 level),Volatile organic compounds (percentage change from 1990 level),Ammonia (percentage change from 1990 level),Carbon monoxide (percentage change from 1990 level),Fine particulate matter (percentage change from 1990 level)
1990,0,0,0,0,0,0
1991,-7.1,-2.9,-1.1,-0.8,-2.7,-3.1
1992,-11.1,-0.1,0.3,2.4,-3.6,-5.2
1993,-14,3.7,4.3,3.5,-2.5,-6.6
1994,-21,10.3,6.8,7.2,-2,-4.5
1995,-16.6,13.3,9.4,13.9,-0.1,-8
1996,-16.4,16.6,11.6,18,-2.7,-7.3
1997,-18.2,21.5,11.2,19.3,-5.3,-5.1
1998,-19.4,22.1,11.3,19.4,-7.8,-16
1999,-22.7,22.4,9.5,18.1,-9.8,-15.1
2000,-22.5,20.3,9.2,20.4,-11.9,-17.5
2001,-23.1,14.6,5.8,20.4,-14.8,-18.9
2002,-24.6,13,5,22.5,-16.4,-23.4
2003,-27,11.5,2.5,21.5,-20.4,-23.3
2004,-26.6,4.9,-0.7,25,-26.5,-25.4
2005,-30.3,0.6,-0.2,24,-31.7,-25.5
2006,-37,-6.2,-5.9,21.2,-37.1,-25
2007,-38.5,-6.6,-8.7,22.2,-43.5,-20
2008,-44.6,-10.2,-12.3,20.1,-46.8,-16.3
2009,-53.4,-16,-18.6,15.9,-49,-23.4
2010,-57,-15.8,-19.9,13.7,-48.3,-19.1
2011,-60.1,-19.9,-23,12.9,-51.6,-16.5
2012,-60.5,-24.7,-22.5,16.9,-54,-10.2
2013,-60.9,-26.7,-21.2,20.3,-54.8,-9.3
2014,-62.6,-28.4,-21.5,18,-57.6,-9.6
2015,-64.7,-31.3,-25.4,18.5,-59.1,-9
2016,-65.4,-34.7,-29.8,18.7,-59,-9.4
2017,-68.5,-33.6,-30.2,16,-59.8,-9.2
2018,-73.3,-35.2,-29.1,20.2,-60.8,-8.6
2019,-76.4,-36.1,-30.9,20.4,-61.8,-8.6
2020,-78.4,-41.8,-39,23.6,-65.5,-13.3
2021,-78.7,-41.3,-39,24.8,-64.8,-12.1
,,,,,,
"Note: This indicator reports emissions of 6 key air pollutants from human activities only. It does not include emissions from natural sources such as forest fires and from vegetation. Emissions from black carbon, a component of PM2.5, are also not included. ",,,,,,
Source: Environment and Climate Change Canada (2023) Air Pollutant Emissions Inventory (https://www.canada.ca/en/environment-climate-change/services/pollutants/air-emissions-inventory-overview.html). ,,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,,
